name,trading_symbol,exchange,instrument_type,tick_size,lot_size,isin
ENVIRO INFRA ENGINEERS L,EIEL,NSE,EQ,1.0,1,INE0LLY01014
MARUTI SUZUKI INDIA LTD.,MARUTI,NSE,EQ,100.0,1,INE585B01010
THE BYKE HOSPITALITY LTD,BYKE,NSE,EQ,1.0,1,INE319B01014
NATIONAL ALUMINIUM CO LTD,NATIONALUM,NSE,EQ,5.0,1,INE139A01034
TRANS & RECTI. LTD,TARIL,NSE,EQ,5.0,1,INE763I01026
NANDAN DENIM LIMITED,NDL,NSE,EQ,1.0,1,INE875G01048
MUSIC BROADCAST LIMITED,RADIOCITY,NSE,EQ,1.0,1,INE919I01024
GOKUL AGRO RESOURCES LTD,GOKULAGRO,NSE,EQ,1.0,1,INE314T01033
KOTAKMAMC - CHEMICAL,CHEMICAL,NSE,EQ,1.0,1,INF174KA1XV0
ONEMI TECHNOLOGY SOL LTD,KISSHT,NSE,EQ,5.0,1,INE12F801023
NAVKAR URBANSTRUCTURE LTD,NAVKARURB,NSE,EQ,1.0,1,INE268H01044
LEMON TREE HOTELS LTD,LEMONTREE,NSE,EQ,1.0,1,INE970X01018
KOTAKMAMC - MOMENTUM30,MOMENTUM30,NSE,EQ,1.0,1,INF174KA1XS6
ICICIPRAMC - TOP15IETF,TOP15IETF,NSE,EQ,1.0,1,INF109K1A344
BRAND CONCEPTS LIMITED,BCONCEPTS,NSE,EQ,1.0,1,INE977Y01011
KOTAKMAMC - QUALITY30,QUALITY30,NSE,EQ,1.0,1,INF174KA1WT6
SG FINSERVE LIMITED,SGFIN,NSE,EQ,5.0,1,INE618R01015
MANAPPURAM FINANCE LTD,MANAPPURAM,NSE,EQ,5.0,1,INE522D01027
SARTHAK METALS LIMITED,SMLT,NSE,EQ,1.0,1,INE017W01010
VINYL CHEMICALS (I) LTD.,VINYLINDIA,NSE,EQ,5.0,1,INE250B01029
IOL CHEM AND PHARMA LTD,IOLCP,NSE,EQ,1.0,1,INE485C01029
CENTRUM CAPITAL LIMITED,CENTRUM,NSE,EQ,1.0,1,INE660C01027
ASPINWALL & CO LTD,ASPINWALL,NSE,EQ,1.0,1,INE991I01015
SHARE IND. SECURITIES LTD,SHAREINDIA,NSE,EQ,1.0,1,INE932X01026
