symbol,instrument_key
360ONE,
3MINDIA,
ABB,
ACC,
ACMESOLAR,
AIAENG,
APLAPOLLO,
AUBANK,
AWL,
AADHARHFC,
AARTIIND,
AAVAS,
ABBOTINDIA,
ACE,
ADANIENSOL,
ADANIENT,
ADANIGREEN,
ADANIPORTS,
ADANIPOWER,
ATGL,
ABCAPITAL,
ABFRL,
ABLBL,
ABREL,
ABSLAMC,
AEGISLOG,
AEGISVOPAK,
AFCONS,
AFFLE,
AJANTPHARM,
AKUMS,
AKZOINDIA,
APLLTD,
ALKEM,
ALKYLAMINE,
ALOKINDS,
ARE&M,
AMBER,
AMBUJACEM,
ANANDRATHI,
ANANTRAJ,
ANGELONE,
APARINDS,
APOLLOHOSP,
APOLLOTYRE,
APTUS,
ASAHIINDIA,
ASHOKLEY,
ASIANPAINT,
ASTERDM,
ASTRAZEN,
ASTRAL,
ATHERENERG,
ATUL,
AUROPHARMA,
AIIL,
DMART,
AXISBANK,
BASF,
BEML,
BLS,
BSE,
BAJAJ-AUTO,
BAJFINANCE,
BAJAJFINSV,
BAJAJHLDNG,
BAJAJHFL,
BALKRISIND,
BALRAMCHIN,
BANDHANBNK,
BANKBARODA,
BANKINDIA,
MAHABANK,
BATAINDIA,
BAYERCROP,
BERGEPAINT,
BDL,
BEL,
BHARATFORG,
BHEL,
BPCL,
BHARTIARTL,
BHARTIHEXA,
BIKAJI,
BIOCON,
BSOFT,
BLUEDART,
BLUEJET,
BLUESTARCO,
BBTC,
BOSCHLTD,
FIRSTCRY,
BRIGADE,
BRITANNIA,
MAPMYINDIA,
CCL,
CESC,
CGPOWER,
CRISIL,
CAMPUS,
CANFINHOME,
CANBK,
CAPLIPOINT,
CGCL,
CARBORUNIV,
CASTROLIND,
CEATLTD,
CENTRALBK,
CDSL,
CENTURYPLY,
CERA,
CHALET,
CHAMBLFERT,
CHENNPETRO,
CHOICEIN,
CHOLAHLDNG,
CHOLAFIN,
CIPLA,
CUB,
CLEAN,
COALINDIA,
COCHINSHIP,
COFORGE,
COHANCE,
COLPAL,
CAMS,
CONCORDBIO,
CONCOR,
COROMANDEL,
CRAFTSMAN,
CREDITACC,
CROMPTON,
CUMMINSIND,
CYIENT,
DCMSHRIRAM,
DLF,
DOMS,
DABUR,
DALBHARAT,
DATAPATTNS,
DEEPAKFERT,
