symbol,instrument_id,timeframe,row_count,min_ts,max_ts
360ONE,1,1,376377,2022-01-03 09:15:00,2026-02-04 15:29:00
360ONE,1,3,126309,2022-01-03 09:15:00,2026-02-04 15:27:00
360ONE,1,5,75828,2022-01-03 09:15:00,2026-02-04 15:25:00
360ONE,1,15,25280,2022-01-03 09:15:00,2026-02-04 15:15:00
360ONE,1,30,13149,2022-01-03 09:00:00,2026-02-04 15:00:00
360ONE,1,60,7083,2022-01-03 09:00:00,2026-02-04 15:00:00
360ONE,1,1440,1016,2022-01-03 00:00:00,2026-02-04 00:00:00
360ONE,1,10080,215,2021-12-27 00:00:00,2026-02-02 00:00:00
3MINDIA,2,1,109560,2024-12-02 09:15:00,2026-02-03 15:29:00
3MINDIA,2,3,36520,2024-12-02 09:15:00,2026-02-03 15:27:00
3MINDIA,2,5,21912,2024-12-02 09:15:00,2026-02-03 15:25:00
3MINDIA,2,15,7304,2024-12-02 09:15:00,2026-02-03 15:15:00
3MINDIA,2,30,3799,2024-12-02 09:00:00,2026-02-03 15:00:00
3MINDIA,2,60,2046,2024-12-02 09:00:00,2026-02-03 15:00:00
3MINDIA,2,1440,1015,2022-01-03 00:00:00,2026-02-03 00:00:00
3MINDIA,2,10080,215,2021-12-27 00:00:00,2026-02-02 00:00:00
AADHARHFC,10,1,160691,2024-05-15 09:15:00,2026-02-04 15:29:00
AADHARHFC,10,3,53567,2024-05-15 09:15:00,2026-02-04 15:27:00
AADHARHFC,10,5,32141,2024-05-15 09:15:00,2026-02-04 15:25:00
AADHARHFC,10,15,10715,2024-05-15 09:15:00,2026-02-04 15:15:00
AADHARHFC,10,30,5573,2024-05-15 09:00:00,2026-02-04 15:00:00
AADHARHFC,10,60,3002,2024-05-15 09:00:00,2026-02-04 15:00:00
AADHARHFC,10,1440,431,2024-05-15 00:00:00,2026-02-04 00:00:00
AADHARHFC,10,10080,91,2024-05-13 00:00:00,2026-02-02 00:00:00
AARTIIND,11,1,379146,2022-01-03 09:15:00,2026-02-04 15:29:00
AARTIIND,11,3,126391,2022-01-03 09:15:00,2026-02-04 15:27:00
AARTIIND,11,5,75835,2022-01-03 09:15:00,2026-02-04 15:25:00
AARTIIND,11,15,25280,2022-01-03 09:15:00,2026-02-04 15:15:00
AARTIIND,11,30,13149,2022-01-03 09:00:00,2026-02-04 15:00:00
AARTIIND,11,60,7083,2022-01-03 09:00:00,2026-02-04 15:00:00
AARTIIND,11,1440,1016,2022-01-03 00:00:00,2026-02-04 00:00:00
