symbol,instrument_key
360 ONE WAM Ltd,NSE_EQ|INE466L01038
3M India Ltd,NSE_EQ|INE470A01017
ABB India Ltd,NSE_EQ|INE117A01022
ACC Ltd,NSE_EQ|INE012A01025
ACME Solar Holdings Ltd,NSE_EQ|INE622W01025
AIA Engineering Ltd,NSE_EQ|INE212H01026
APL Apollo Tubes Ltd,NSE_EQ|INE702C01027
AU Small Finance Bank Ltd,NSE_EQ|INE949L01017
AWL Agri Business Ltd,NSE_EQ|INE699H01024
Aadhar Housing Finance Ltd,NSE_EQ|INE883F01010
Aarti Industries Ltd,NSE_EQ|INE769A01020
Aavas Financiers Ltd,NSE_EQ|INE216P01012
Abbott India Ltd,NSE_EQ|INE358A01014
Action Construction Equipment Ltd,NSE_EQ|INE731H01025
Adani Energy Solutions Ltd,NSE_EQ|INE931S01010
Adani Enterprises Ltd,NSE_EQ|INE423A01024
Adani Green Energy Ltd,NSE_EQ|INE364U01010
Adani Ports and Special Economic Zone Ltd,NSE_EQ|INE742F01042
Adani Power Ltd,NSE_EQ|INE814H01029
Adani Total Gas Ltd,NSE_EQ|INE399L01023
Aditya Birla Capital Ltd,NSE_EQ|INE674K01013
Aditya Birla Fashion and Retail Ltd,NSE_EQ|INE647O01011
Aditya Birla Lifestyle Brands Ltd,NSE_EQ|INE14LE01019
Aditya Birla Real Estate Ltd,NSE_EQ|INE055A01016
Aditya Birla Sun Life AMC Ltd,NSE_EQ|INE404A01024
Aegis Logistics Ltd,NSE_EQ|INE208C01025
Aegis Vopak Terminals Ltd,NSE_EQ|INE0INX01018
Afcons Infrastructure Ltd,NSE_EQ|INE101I01011
Affle 3i Ltd,NSE_EQ|INE00WC01027
Ajanta Pharmaceuticals Ltd,NSE_EQ|INE031B01049
Akums Drugs and Pharmaceuticals Ltd,NSE_EQ|INE09XN01023
Akzo Nobel India Ltd,NSE_EQ|INE133A01011
Alembic Pharmaceuticals Ltd,NSE_EQ|INE901L01018
Alkem Laboratories Ltd,NSE_EQ|INE540L01014
Alkyl Amines Chemicals Ltd,NSE_EQ|INE150B01039
Alok Industries Ltd,NSE_EQ|INE270A01029
Amara Raja Energy & Mobility Ltd,NSE_EQ|INE885A01032
Amber Enterprises India Ltd,NSE_EQ|INE371P01015
Ambuja Cements Ltd,NSE_EQ|INE079A01024
Anand Rathi Wealth Ltd,NSE_EQ|INE463V01026
Anant Raj Ltd,NSE_EQ|INE242C01024
Angel One Ltd,NSE_EQ|INE732I01013
Apar Industries Ltd,NSE_EQ|INE372A01015
Apollo Hospitals Enterprise Ltd,NSE_EQ|INE437A01024
Apollo Tyres Ltd,NSE_EQ|INE438A01022
Aptus Value Housing Finance India Ltd,NSE_EQ|INE852O01025
Asahi India Glass Ltd,NSE_EQ|INE439A01020
Ashok Leyland Ltd,NSE_EQ|INE208A01029
Asian Paints Ltd,NSE_EQ|INE021A01026
Aster DM Healthcare Ltd,NSE_EQ|INE914M01019
AstraZenca Pharma India Ltd,NSE_EQ|INE203A01020
Astral Ltd,NSE_EQ|INE006I01046
Ather Energy Ltd,NSE_EQ|INE0LEZ01016
Atul Ltd,NSE_EQ|INE100A01010
Aurobindo Pharma Ltd,NSE_EQ|INE406A01037
Authum Investment & Infrastructure Ltd,NSE_EQ|INE206F01022
Avenue Supermarts Ltd,NSE_EQ|INE192R01011
Axis Bank Ltd,NSE_EQ|INE238A01034
BASF India Ltd,NSE_EQ|INE373A01013
BEML Ltd,NSE_EQ|INE258A01024
BLS International Services Ltd,NSE_EQ|INE153T01027
BSE Ltd,NSE_EQ|INE118H01025
Bajaj Auto Ltd,NSE_EQ|INE917I01010
Bajaj Finance Ltd,NSE_EQ|INE296A01032
Bajaj Finserv Ltd,NSE_EQ|INE918I01026
