symbol,timeframe,source_rows,source_min_ts,source_max_ts,pg_rows,parquet_rows,min_ts,max_ts,successful_batches,failed_batches,row_diff,completion_pct
IOB,3,126267,2022-01-03T09:15:00.000000,2026-02-03T15:27:00.000000,126267,126267,2022-01-03T09:15:00.000000,2026-02-03T15:27:00.000000,50,0,0,100
SUNPHARMA,1440,1014,2022-01-03T00:00:00.000000,2026-02-02T00:00:00.000000,1014,1014,2022-01-03T00:00:00.000000,2026-02-02T00:00:00.000000,50,0,0,100
TATACONSUM,5,75689,2022-01-03T09:15:00.000000,2026-02-02T15:25:00.000000,75689,75689,2022-01-03T09:15:00.000000,2026-02-02T15:25:00.000000,50,0,0,100
BALKRISIND,5,75689,2022-01-03T09:15:00.000000,2026-02-02T15:25:00.000000,75689,75689,2022-01-03T09:15:00.000000,2026-02-02T15:25:00.000000,50,0,0,100
JYOTICNC,1440,512,2024-01-16T00:00:00.000000,2026-02-05T00:00:00.000000,512,512,2024-01-16T00:00:00.000000,2026-02-05T00:00:00.000000,26,0,0,100
LTFOODS,5,75911,2022-01-03T09:15:00.000000,2026-02-05T15:25:00.000000,75911,75911,2022-01-03T09:15:00.000000,2026-02-05T15:25:00.000000,50,0,0,100
HBLENGINE,1,379161,2022-01-03T09:15:00.000000,2026-02-04T15:29:00.000000,379161,379161,2022-01-03T09:15:00.000000,2026-02-04T15:29:00.000000,50,0,0,100
LT,15,25255,2022-01-03T09:15:00.000000,2026-02-03T15:15:00.000000,25255,25255,2022-01-03T09:15:00.000000,2026-02-03T15:15:00.000000,50,0,0,100
GODFRYPHLP,15,25255,2022-01-03T09:15:00.000000,2026-02-03T15:15:00.000000,25255,25255,2022-01-03T09:15:00.000000,2026-02-03T15:15:00.000000,50,0,0,100
GRSE,5,75836,2022-01-03T09:15:00.000000,2026-02-04T15:25:00.000000,75836,75836,2022-01-03T09:15:00.000000,2026-02-04T15:25:00.000000,50,0,0,100
LAURUSLABS,10080,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,215,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,51,0,0,100
CHENNPETRO,30,13149,2022-01-03T09:00:00.000000,2026-02-04T15:00:00.000000,13149,13149,2022-01-03T09:00:00.000000,2026-02-04T15:00:00.000000,50,0,0,100
GLAXO,15,25255,2022-01-03T09:15:00.000000,2026-02-03T15:15:00.000000,25255,25255,2022-01-03T09:15:00.000000,2026-02-03T15:15:00.000000,50,0,0,100
FORTIS,10080,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,215,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,51,0,0,100
KIMS,1,376753,2022-01-03T09:15:00.000000,2026-02-03T15:29:00.000000,376753,376753,2022-01-03T09:15:00.000000,2026-02-03T15:29:00.000000,50,0,0,100
KIRLOSENG,60,7076,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,7076,7076,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,50,0,0,100
NTPC,10080,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,215,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,51,0,0,100
ASIANPAINT,1,378429,2022-01-03T09:15:00.000000,2026-02-02T15:29:00.000000,378429,378429,2022-01-03T09:15:00.000000,2026-02-02T15:29:00.000000,50,0,0,100
JKTYRE,5,22062,2024-12-02T09:15:00.000000,2026-02-05T15:25:00.000000,22062,22062,2024-12-02T09:15:00.000000,2026-02-05T15:25:00.000000,15,0,0,100
YESBANK,60,7076,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,7076,7076,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,50,0,0,100
ATGL,5,75838,2022-01-03T09:15:00.000000,2026-02-04T15:25:00.000000,75838,75838,2022-01-03T09:15:00.000000,2026-02-04T15:25:00.000000,50,0,0,100
AKZOINDIA,15,25280,2022-01-03T09:15:00.000000,2026-02-04T15:15:00.000000,25280,25280,2022-01-03T09:15:00.000000,2026-02-04T15:15:00.000000,50,0,0,100
KALYANKJIL,15,7354,2024-12-02T09:15:00.000000,2026-02-05T15:15:00.000000,7354,7354,2024-12-02T09:15:00.000000,2026-02-05T15:15:00.000000,15,0,0,100
NAUKRI,5,75689,2022-01-03T09:15:00.000000,2026-02-02T15:25:00.000000,75689,75689,2022-01-03T09:15:00.000000,2026-02-02T15:25:00.000000,50,0,0,100
TATACHEM,1440,1015,2022-01-03T00:00:00.000000,2026-02-03T00:00:00.000000,1015,1015,2022-01-03T00:00:00.000000,2026-02-03T00:00:00.000000,50,0,0,100
INFY,60,7062,2022-01-03T09:00:00.000000,2026-02-01T15:00:00.000000,7062,7062,2022-01-03T09:00:00.000000,2026-02-01T15:00:00.000000,50,0,0,100
MAXHEALTH,30,13136,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,13136,13136,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,50,0,0,100
CYIENT,10080,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,215,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,51,0,0,100
BALKRISIND,1,378428,2022-01-03T09:15:00.000000,2026-02-02T15:29:00.000000,378428,378428,2022-01-03T09:15:00.000000,2026-02-02T15:29:00.000000,50,0,0,100
POLYCAB,5,75689,2022-01-03T09:15:00.000000,2026-02-02T15:25:00.000000,75689,75689,2022-01-03T09:15:00.000000,2026-02-02T15:25:00.000000,50,0,0,100
UBL,10080,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,215,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,51,0,0,100
GUJGASLTD,5,75764,2022-01-03T09:15:00.000000,2026-02-03T15:25:00.000000,75764,75764,2022-01-03T09:15:00.000000,2026-02-03T15:25:00.000000,50,0,0,100
JBMA,3,126266,2022-01-03T09:15:00.000000,2026-02-03T15:27:00.000000,126266,126266,2022-01-03T09:15:00.000000,2026-02-03T15:27:00.000000,50,0,0,100
JBMA,30,13136,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,13136,13136,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,50,0,0,100
ENGINERSIN,3,36520,2024-12-02T09:15:00.000000,2026-02-03T15:27:00.000000,36520,36520,2024-12-02T09:15:00.000000,2026-02-03T15:27:00.000000,15,0,0,100
AWL,5,73958,2022-02-08T09:15:00.000000,2026-02-04T15:25:00.000000,73958,73958,2022-02-08T09:15:00.000000,2026-02-04T15:25:00.000000,49,0,0,100
LICHSGFIN,1,378803,2022-01-03T09:15:00.000000,2026-02-03T15:29:00.000000,378803,378803,2022-01-03T09:15:00.000000,2026-02-03T15:29:00.000000,50,0,0,100
HONASA,1,208030,2023-11-07T09:15:00.000000,2026-02-04T15:29:00.000000,208030,208030,2023-11-07T09:15:00.000000,2026-02-04T15:29:00.000000,28,0,0,100
THELEELA,3,21380,2025-06-02T10:00:00.000000,2026-02-05T15:27:00.000000,21380,21380,2025-06-02T10:00:00.000000,2026-02-05T15:27:00.000000,9,0,0,100
AARTIIND,5,75835,2022-01-03T09:15:00.000000,2026-02-04T15:25:00.000000,75835,75835,2022-01-03T09:15:00.000000,2026-02-04T15:25:00.000000,50,0,0,100
TITAN,1,378425,2022-01-03T09:15:00.000000,2026-02-02T15:29:00.000000,378425,378425,2022-01-03T09:15:00.000000,2026-02-02T15:29:00.000000,50,0,0,100
JBMA,10080,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,215,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,51,0,0,100
JKCEMENT,30,5086,2022-01-03T09:00:00.000000,2023-08-01T15:00:00.000000,5086,5086,2022-01-03T09:00:00.000000,2023-08-01T15:00:00.000000,20,0,0,100
TATASTEEL,60,7069,2022-01-03T09:00:00.000000,2026-02-02T15:00:00.000000,7069,7069,2022-01-03T09:00:00.000000,2026-02-02T15:00:00.000000,50,0,0,100
BATAINDIA,1,109185,2024-12-02T09:15:00.000000,2026-02-02T15:29:00.000000,109185,109185,2024-12-02T09:15:00.000000,2026-02-02T15:29:00.000000,15,0,0,100
BPCL,3,126148,2022-01-03T09:15:00.000000,2026-02-02T15:27:00.000000,126148,126148,2022-01-03T09:15:00.000000,2026-02-02T15:27:00.000000,50,0,0,100
JINDALSAW,60,7076,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,7076,7076,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,50,0,0,100
HAL,10080,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,215,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,51,0,0,100
ASTERDM,15,25280,2022-01-03T09:15:00.000000,2026-02-04T15:15:00.000000,25280,25280,2022-01-03T09:15:00.000000,2026-02-04T15:15:00.000000,50,0,0,100
BAJAJHFL,1,129086,2024-09-16T09:15:00.000000,2026-02-04T15:29:00.000000,129086,129086,2024-09-16T09:15:00.000000,2026-02-04T15:29:00.000000,18,0,0,100
KAJARIACER,15,25255,2022-01-03T09:15:00.000000,2026-02-03T15:15:00.000000,25255,25255,2022-01-03T09:15:00.000000,2026-02-03T15:15:00.000000,50,0,0,100
GVT&D,1,356599,2022-01-03T09:15:00.000000,2026-02-04T15:29:00.000000,356599,356599,2022-01-03T09:15:00.000000,2026-02-04T15:29:00.000000,50,0,0,100
UTIAMC,1,378396,2022-01-03T09:15:00.000000,2026-02-03T15:29:00.000000,378396,378396,2022-01-03T09:15:00.000000,2026-02-03T15:29:00.000000,50,0,0,100
CAMS,5,69526,2022-01-03T09:15:00.000000,2025-10-01T15:25:00.000000,69526,69526,2022-01-03T09:15:00.000000,2025-10-01T15:25:00.000000,46,0,0,100
SJVN,1,378759,2022-01-03T09:15:00.000000,2026-02-03T15:29:00.000000,378759,378759,2022-01-03T09:15:00.000000,2026-02-03T15:29:00.000000,50,0,0,100
AJANTPHARM,3,126269,2022-01-03T09:15:00.000000,2026-02-03T15:27:00.000000,126269,126269,2022-01-03T09:15:00.000000,2026-02-03T15:27:00.000000,50,0,0,100
ASAHIINDIA,15,25280,2022-01-03T09:15:00.000000,2026-02-04T15:15:00.000000,25280,25280,2022-01-03T09:15:00.000000,2026-02-04T15:15:00.000000,50,0,0,100
ADANIPORTS,1440,1014,2022-01-03T00:00:00.000000,2026-02-02T00:00:00.000000,1014,1014,2022-01-03T00:00:00.000000,2026-02-02T00:00:00.000000,50,0,0,100
ANANDRATHI,1,373107,2022-01-03T09:15:00.000000,2026-02-04T15:29:00.000000,373107,373107,2022-01-03T09:15:00.000000,2026-02-04T15:29:00.000000,50,0,0,100
NCC,60,7076,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,7076,7076,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,50,0,0,100
CHOICEIN,15,23626,2022-04-08T09:15:00.000000,2026-02-04T15:15:00.000000,23626,23626,2022-04-08T09:15:00.000000,2026-02-04T15:15:00.000000,47,0,0,100
DEVYANI,3,126267,2022-01-03T09:15:00.000000,2026-02-03T15:27:00.000000,126267,126267,2022-01-03T09:15:00.000000,2026-02-03T15:27:00.000000,50,0,0,100
SCHNEIDER,5,75762,2022-01-03T09:15:00.000000,2026-02-03T15:25:00.000000,75762,75762,2022-01-03T09:15:00.000000,2026-02-03T15:25:00.000000,50,0,0,100
LTIM,5,75689,2022-01-03T09:15:00.000000,2026-02-02T15:25:00.000000,75689,75689,2022-01-03T09:15:00.000000,2026-02-02T15:25:00.000000,50,0,0,100
INDIANB,1440,1015,2022-01-03T00:00:00.000000,2026-02-03T00:00:00.000000,1015,1015,2022-01-03T00:00:00.000000,2026-02-03T00:00:00.000000,50,0,0,100
SKFINDIA,10080,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,215,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,51,0,0,100
ADANIENSOL,3,126394,2022-01-03T09:15:00.000000,2026-02-04T15:27:00.000000,126394,126394,2022-01-03T09:15:00.000000,2026-02-04T15:27:00.000000,50,0,0,100
VGUARD,10080,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,215,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,51,0,0,100
AKZOINDIA,3,126140,2022-01-03T09:15:00.000000,2026-02-04T15:27:00.000000,126140,126140,2022-01-03T09:15:00.000000,2026-02-04T15:27:00.000000,50,0,0,100
NMDC,15,25230,2022-01-03T09:15:00.000000,2026-02-02T15:15:00.000000,25230,25230,2022-01-03T09:15:00.000000,2026-02-02T15:15:00.000000,50,0,0,100
ADANIENSOL,60,7083,2022-01-03T09:00:00.000000,2026-02-04T15:00:00.000000,7083,7083,2022-01-03T09:00:00.000000,2026-02-04T15:00:00.000000,50,0,0,100
ACC,3,126149,2022-01-03T09:15:00.000000,2026-02-02T15:27:00.000000,126149,126149,2022-01-03T09:15:00.000000,2026-02-02T15:27:00.000000,50,0,0,100
JKTYRE,1440,1017,2022-01-03T00:00:00.000000,2026-02-05T00:00:00.000000,1017,1017,2022-01-03T00:00:00.000000,2026-02-05T00:00:00.000000,50,0,0,100
AFFLE,30,13136,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,13136,13136,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,50,0,0,100
UCOBANK,1,378735,2022-01-03T09:15:00.000000,2026-02-03T15:29:00.000000,378735,378735,2022-01-03T09:15:00.000000,2026-02-03T15:29:00.000000,50,0,0,100
KARURVYSYA,10080,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,215,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,51,0,0,100
NESTLEIND,5,75689,2022-01-03T09:15:00.000000,2026-02-02T15:25:00.000000,75689,75689,2022-01-03T09:15:00.000000,2026-02-02T15:25:00.000000,50,0,0,100
YESBANK,5,75762,2022-01-03T09:15:00.000000,2026-02-03T15:25:00.000000,75762,75762,2022-01-03T09:15:00.000000,2026-02-03T15:25:00.000000,50,0,0,100
NHPC,60,7069,2022-01-03T09:00:00.000000,2026-02-02T15:00:00.000000,7069,7069,2022-01-03T09:00:00.000000,2026-02-02T15:00:00.000000,50,0,0,100
ULTRACEMCO,1,378425,2022-01-03T09:15:00.000000,2026-02-02T15:29:00.000000,378425,378425,2022-01-03T09:15:00.000000,2026-02-02T15:29:00.000000,50,0,0,100
BLS,10080,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,215,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,51,0,0,100
GPIL,1440,1015,2022-01-03T00:00:00.000000,2026-02-03T00:00:00.000000,1015,1015,2022-01-03T00:00:00.000000,2026-02-03T00:00:00.000000,50,0,0,100
BAJAJHFL,30,4477,2024-09-16T09:00:00.000000,2026-02-04T15:00:00.000000,4477,4477,2024-09-16T09:00:00.000000,2026-02-04T15:00:00.000000,18,0,0,100
INDIAMART,3,126274,2022-01-03T09:15:00.000000,2026-02-03T15:27:00.000000,126274,126274,2022-01-03T09:15:00.000000,2026-02-03T15:27:00.000000,50,0,0,100
NESTLEIND,3,126149,2022-01-03T09:15:00.000000,2026-02-02T15:27:00.000000,126149,126149,2022-01-03T09:15:00.000000,2026-02-02T15:27:00.000000,50,0,0,100
MEDANTA,60,2046,2024-12-02T09:00:00.000000,2026-02-03T15:00:00.000000,2046,2046,2024-12-02T09:00:00.000000,2026-02-03T15:00:00.000000,15,0,0,100
KOTAKBANK,1,378429,2022-01-03T09:15:00.000000,2026-02-02T15:29:00.000000,378429,378429,2022-01-03T09:15:00.000000,2026-02-02T15:29:00.000000,50,0,0,100
DEEPAKNTR,1,378424,2022-01-03T09:15:00.000000,2026-02-02T15:29:00.000000,378424,378424,2022-01-03T09:15:00.000000,2026-02-02T15:29:00.000000,50,0,0,100
TCS,15,25305,2022-01-03T09:15:00.000000,2026-02-05T15:15:00.000000,25305,25305,2022-01-03T09:15:00.000000,2026-02-05T15:15:00.000000,50,0,0,100
PNB,15,25230,2022-01-03T09:15:00.000000,2026-02-02T15:15:00.000000,25230,25230,2022-01-03T09:15:00.000000,2026-02-02T15:15:00.000000,50,0,0,100
IGIL,10080,60,2024-12-16T00:00:00.000000,2026-02-02T00:00:00.000000,60,60,2024-12-16T00:00:00.000000,2026-02-02T00:00:00.000000,15,0,0,100
BLUEJET,10080,119,2023-10-30T00:00:00.000000,2026-02-02T00:00:00.000000,119,119,2023-10-30T00:00:00.000000,2026-02-02T00:00:00.000000,29,0,0,100
TATACHEM,5,75764,2022-01-03T09:15:00.000000,2026-02-03T15:25:00.000000,75764,75764,2022-01-03T09:15:00.000000,2026-02-03T15:25:00.000000,50,0,0,100
MANKIND,5,51074,2023-05-09T09:15:00.000000,2026-02-05T15:25:00.000000,51074,51074,2023-05-09T09:15:00.000000,2026-02-05T15:25:00.000000,34,0,0,100
VGUARD,1,378562,2022-01-03T09:15:00.000000,2026-02-03T15:29:00.000000,378562,378562,2022-01-03T09:15:00.000000,2026-02-03T15:29:00.000000,50,0,0,100
JSL,1440,1015,2022-01-03T00:00:00.000000,2026-02-03T00:00:00.000000,1015,1015,2022-01-03T00:00:00.000000,2026-02-03T00:00:00.000000,50,0,0,100
LLOYDSME,15,15776,2023-07-17T09:15:00.000000,2026-02-03T15:15:00.000000,15776,15776,2023-07-17T09:15:00.000000,2026-02-03T15:15:00.000000,32,0,0,100
JBMA,15,25255,2022-01-03T09:15:00.000000,2026-02-03T15:15:00.000000,25255,25255,2022-01-03T09:15:00.000000,2026-02-03T15:15:00.000000,50,0,0,100
MGL,1,378802,2022-01-03T09:15:00.000000,2026-02-03T15:29:00.000000,378802,378802,2022-01-03T09:15:00.000000,2026-02-03T15:29:00.000000,50,0,0,100
COHANCE,15,25280,2022-01-03T09:15:00.000000,2026-02-04T15:15:00.000000,25280,25280,2022-01-03T09:15:00.000000,2026-02-04T15:15:00.000000,50,0,0,100
HAPPSTMNDS,1440,1015,2022-01-03T00:00:00.000000,2026-02-03T00:00:00.000000,1015,1015,2022-01-03T00:00:00.000000,2026-02-03T00:00:00.000000,50,0,0,100
TVSMOTOR,15,7279,2024-12-02T09:15:00.000000,2026-02-02T15:15:00.000000,7279,7279,2024-12-02T09:15:00.000000,2026-02-02T15:15:00.000000,15,0,0,100
FORTIS,30,13136,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,13136,13136,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,50,0,0,100
KEI,15,25255,2022-01-03T09:15:00.000000,2026-02-03T15:15:00.000000,25255,25255,2022-01-03T09:15:00.000000,2026-02-03T15:15:00.000000,50,0,0,100
MAPMYINDIA,60,7076,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,7076,7076,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,50,0,0,100
MOTHERSON,60,7069,2022-01-03T09:00:00.000000,2026-02-02T15:00:00.000000,7069,7069,2022-01-03T09:00:00.000000,2026-02-02T15:00:00.000000,50,0,0,100
KEC,60,7076,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,7076,7076,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,50,0,0,100
FINPIPE,5,75836,2022-01-03T09:15:00.000000,2026-02-04T15:25:00.000000,75836,75836,2022-01-03T09:15:00.000000,2026-02-04T15:25:00.000000,50,0,0,100
APOLLOHOSP,10080,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,215,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,51,0,0,100
NLCINDIA,5,75763,2022-01-03T09:15:00.000000,2026-02-03T15:25:00.000000,75763,75763,2022-01-03T09:15:00.000000,2026-02-03T15:25:00.000000,50,0,0,100
TRITURBINE,1440,1015,2022-01-03T00:00:00.000000,2026-02-03T00:00:00.000000,1015,1015,2022-01-03T00:00:00.000000,2026-02-03T00:00:00.000000,50,0,0,100
BOSCHLTD,1440,1014,2022-01-03T00:00:00.000000,2026-02-02T00:00:00.000000,1014,1014,2022-01-03T00:00:00.000000,2026-02-02T00:00:00.000000,50,0,0,100
INDIACEM,60,7076,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,7076,7076,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,50,0,0,100
NBCC,10080,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,215,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,51,0,0,100
AXISBANK,30,13123,2022-01-03T09:00:00.000000,2026-02-02T15:00:00.000000,13123,13123,2022-01-03T09:00:00.000000,2026-02-02T15:00:00.000000,50,0,0,100
HONAUT,5,75839,2022-01-03T09:15:00.000000,2026-02-04T15:25:00.000000,75839,75839,2022-01-03T09:15:00.000000,2026-02-04T15:25:00.000000,50,0,0,100
BALRAMCHIN,1,379176,2022-01-03T09:15:00.000000,2026-02-04T15:29:00.000000,379176,379176,2022-01-03T09:15:00.000000,2026-02-04T15:29:00.000000,50,0,0,100
TVSMOTOR,60,2039,2024-12-02T09:00:00.000000,2026-02-02T15:00:00.000000,2039,2039,2024-12-02T09:00:00.000000,2026-02-02T15:00:00.000000,15,0,0,100
OIL,10080,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,215,215,2021-12-27T00:00:00.000000,2026-02-02T00:00:00.000000,51,0,0,100
VOLTAS,5,75764,2022-01-03T09:15:00.000000,2026-02-03T15:25:00.000000,75764,75764,2022-01-03T09:15:00.000000,2026-02-03T15:25:00.000000,50,0,0,100
MARICO,3,126149,2022-01-03T09:15:00.000000,2026-02-02T15:27:00.000000,126149,126149,2022-01-03T09:15:00.000000,2026-02-02T15:27:00.000000,50,0,0,100
KIRLOSENG,15,25255,2022-01-03T09:15:00.000000,2026-02-03T15:15:00.000000,25255,25255,2022-01-03T09:15:00.000000,2026-02-03T15:15:00.000000,50,0,0,100
AFFLE,60,7076,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,7076,7076,2022-01-03T09:00:00.000000,2026-02-03T15:00:00.000000,50,0,0,100
CESC,3,126269,2022-01-03T09:15:00.000000,2026-02-03T15:27:00.000000,126269,126269,2022-01-03T09:15:00.000000,2026-02-03T15:27:00.000000,50,0,0,100
MAZDOCK,3,126269,2022-01-03T09:15:00.000000,2026-02-03T15:27:00.000000,126269,126269,2022-01-03T09:15:00.000000,2026-02-03T15:27:00.000000,50,0,0,100
MSUMI,60,6677,2022-03-28T09:00:00.000000,2026-02-03T15:00:00.000000,6677,6677,2022-03-28T09:00:00.000000,2026-02-03T15:00:00.000000,48,0,0,100
VGUARD,15,25255,2022-01-03T09:15:00.000000,2026-02-03T15:15:00.000000,25255,25255,2022-01-03T09:15:00.000000,2026-02-03T15:15:00.000000,50,0,0,100
