instrument_id,instrument_key,symbol,series,exchange,company_name,sector,isin_code,is_active
1324,NSE_EQ|INE0D0U01013,AAATECH,EQ,NSE,AAA TECHNOLOGIES LIMITED,Others,INE0D0U01013,True
10,NSE_EQ|INE883F01010,AADHARHFC,EQ,NSE,AADHAR HOUSING FINANCE L,Housing Finance,INE883F01010,True
3868,NSE_EQ|INE1GYP01013,AAKAAR,SM,NSE,AAKAAR MEDICAL TECHNO LTD,Others,INE1GYP01013,True
1590,NSE_EQ|INE087Z01024,AAKASH,EQ,NSE,AAKASH EXPLORATION SER L,Others,INE087Z01024,True
4780,NSE_EQ|INE124401014,AARADHYA,SM,NSE,AARADHYA DISPOSAL INDUS L,Others,INE124401014,True
8466,NSE_EQ|INE198H01019,AAREYDRUGS,BE,NSE,AAREY DRUGS & PHARM LTD,Others,INE198H01019,True
679,NSE_EQ|INE750R01016,AARNAV,EQ,NSE,AARNAV FASHIONS LIMITED,Others,INE750R01016,True
1144,NSE_EQ|INE721Z01010,AARON,EQ,NSE,AARON INDUSTRIES LIMITED,Others,INE721Z01010,True
1434,NSE_EQ|INE01C001026,AARTECH,EQ,NSE,AARTECH SOLONICS LIMITED,Others,INE01C001026,True
1729,NSE_EQ|INE767A01016,AARTIDRUGS,EQ,NSE,AARTI DRUGS LTD.,Others,INE767A01016,True
11,NSE_EQ|INE769A01020,AARTIIND,EQ,NSE,AARTI INDUSTRIES LTD,Chemicals,INE769A01020,True
1986,NSE_EQ|INE0LRU01027,AARTIPHARM,EQ,NSE,AARTI PHARMALABS LIMITED,Others,INE0LRU01027,True
8463,NSE_EQ|INE09EO04017,AARTISURF,P1,NSE,AARTI SURFACTANTS LIMITED,Others,INE09EO04017,True
1474,NSE_EQ|INE09EO01013,AARTISURF,EQ,NSE,AARTI SURFACTANTS LIMITED,Others,INE09EO01013,True
1620,NSE_EQ|INE754X01016,AARVI,EQ,NSE,AARVI ENCON LIMITED,Others,INE754X01016,True
3880,NSE_EQ|INE0OB201016,AATMAJ,SM,NSE,AATMAJ HEALTHCARE LIMITED,Others,INE0OB201016,True
12,NSE_EQ|INE216P01012,AAVAS,EQ,NSE,AAVAS FINANCIERS LIMITED,Housing Finance,INE216P01012,True
8444,NSE_EQ|INE421A01028,ABAN,BE,NSE,ABAN OFFSHORE LTD.,Others,INE421A01028,True
3336,NSE_EQ|INE365O01028,ABANSENT,BE,NSE,ABANS ENTERPRISES LTD.,Others,INE365O01028,True
3,NSE_EQ|INE117A01022,ABB,EQ,NSE,ABB INDIA LIMITED,Electric Equipment,INE117A01022,True
13,NSE_EQ|INE358A01014,ABBOTINDIA,EQ,NSE,ABBOTT INDIA LIMITED,Pharmaceuticals,INE358A01014,True
21,NSE_EQ|INE674K01013,ABCAPITAL,EQ,NSE,ADITYA BIRLA CAPITAL LTD.,NBFC,INE674K01013,True
2213,NSE_EQ|INE08PH01015,ABCOTS,EQ,NSE,A B COTSPIN INDIA LIMITED,Others,INE08PH01015,True
1901,NSE_EQ|INE552Z01027,ABDL,EQ,NSE,ALLIED BLEND N DISTILS L,Others,INE552Z01027,True
22,NSE_EQ|INE647O01011,ABFRL,EQ,NSE,ADITYA BIRLA FASHION & RT,Retailing,INE647O01011,True
2222,NSE_EQ|INF209KC1134,ABGSEC,EQ,NSE,BIRLASLAMC - ABGSEC,Others,INF209KC1134,True
3199,NSE_EQ|INE0UYG01015,ABHAPOWER,SM,NSE,ABHA POWER N STEEL LTD,Others,INE0UYG01015,True
1398,NSE_EQ|INE00YB01025,ABINFRA,EQ,NSE,A B INFRABUILD LIMITED,Others,INE00YB01025,True
23,NSE_EQ|INE14LE01019,ABLBL,EQ,NSE,ADITYA BIRLA LIFES BRAN L,DVR,INE14LE01019,True
2455,NSE_EQ|INE251C01025,ABMINTLLTD,EQ,NSE,ABM INTERNATIONAL LTD,Others,INE251C01025,True
1610,NSE_EQ|INE850B01026,ABMKNO,EQ,NSE,A B M KNOWLEDGEWARE LTD.,Others,INE850B01026,True
3855,NSE_EQ|INE982R01015,ABNINT,IT,NSE,A B N INTERCORP LIMITED,Others,INE982R01015,True
24,NSE_EQ|INE055A01016,ABREL,EQ,NSE,ADITYA BIRLA REAL EST LTD,Diversified,INE055A01016,True
25,NSE_EQ|INE404A01024,ABSLAMC,EQ,NSE,ADIT BIRL SUN LIF AMC LTD,Asset Management,INE404A01024,True
1318,NSE_EQ|INF209KB17D5,ABSLBANETF,EQ,NSE,BIRLASLAMC - ABSLBANETF,Others,INF209KB17D5,True
1331,NSE_EQ|INF209KB18T9,ABSLLIQUID,EQ,NSE,BIRLASLAMC - ABSLLIQUID,Others,INF209KB18T9,True
2126,NSE_EQ|INF209KC1662,ABSLMSCIN,EQ,NSE,BIRLASLAMC - ABSLMSCIN,Others,INF209KC1662,True
1326,NSE_EQ|INF209KB19Z4,ABSLPSE,EQ,NSE,BIRLASLAMC-ABSLPSE,Others,INF209KB19Z4,True
5096,NSE_EQ|INE0QRV01016,ABSMARINE,ST,NSE,ABS MARINE SERVICES LTD,Others,INE0QRV01016,True
4,NSE_EQ|INE012A01025,ACC,EQ,NSE,ACC LIMITED,Construction Materials,INE012A01025,True
1285,NSE_EQ|INE793A01012,ACCELYA,EQ,NSE,ACCELYA SOLN INDIA LTD,Others,INE793A01012,True
5540,NSE_EQ|INE0Q5D01013,ACCENTMIC,SM,NSE,ACCENT MICROCELL LIMITED,Others,INE0Q5D01013,True
3561,NSE_EQ|INE113X01015,ACCORD,ST,NSE,ACCORD SYNERGY LIMITED,Others,INE113X01015,True
3445,NSE_EQ|INE0T8T01010,ACCPL,ST,NSE,ACCRETION PHARMA LIMITED,Others,INE0T8T01010,True
2005,NSE_EQ|INE648Z01023,ACCURACY,EQ,NSE,ACCURACY SHIPPING LIMITED,Others,INE648Z01023,True
14,NSE_EQ|INE731H01025,ACE,EQ,NSE,ACTION CONST EQUIP LTD,Engineering,INE731H01025,True
728,NSE_EQ|INE543V01017,ACEINTEG,EQ,NSE,ACE INTEGRATED SOLU. LTD.,Others,INE543V01017,True
8870,NSE_EQ|INE1J6M01010,ACETEC,SM,NSE,ACETECH E-COMMERCE LTD,Others,INE1J6M01010,True
775,NSE_EQ|INE128X01021,ACI,EQ,NSE,ARCHEAN CHEMICAL IND LTD,Others,INE128X01021,True
2188,NSE_EQ|INE666E01020,ACL,EQ,NSE,ANDHRA CEMENTS LIMITED,Others,INE666E01020,True
5,NSE_EQ|INE622W01025,ACMESOLAR,EQ,NSE,ACME SOLAR HOLDINGS LTD,Power,INE622W01025,True
824,NSE_EQ|INE366C01021,ACSTECH,EQ,NSE,A C S TECHNOLOGIES LTD.,Others,INE366C01021,True
6429,NSE_EQ|INE0KLO01025,ACTIVEINFR,SM,NSE,ACTIVE INFRASTRUCTURES L,Others,INE0KLO01025,True
1845,NSE_EQ|INE00FF01025,ACUTAAS,EQ,NSE,ACUTAAS CHEMICALS LIMITED,Others,INE00FF01025,True
15,NSE_EQ|INE931S01010,ADANIENSOL,EQ,NSE,ADANI ENERGY SOLUTION LTD,Power,INE931S01010,True
16,NSE_EQ|INE423A01024,ADANIENT,EQ,NSE,ADANI ENTERPRISES LIMITED,Trading,INE423A01024,True
17,NSE_EQ|INE364U01010,ADANIGREEN,EQ,NSE,ADANI GREEN ENERGY LTD,Power,INE364U01010,True
18,NSE_EQ|INE742F01042,ADANIPORTS,EQ,NSE,ADANI PORT & SEZ LTD,Port,INE742F01042,True
19,NSE_EQ|INE814H01029,ADANIPOWER,EQ,NSE,ADANI POWER LTD,Power Generation & Distribution,INE814H01029,True
8121,NSE_EQ|INE0RDH01021,ADDICTIVE,SM,NSE,ADDICTIVE LEARNING TECH L,Others,INE0RDH01021,True
2350,NSE_EQ|INE982B01027,ADFFOODS,EQ,NSE,ADF FOODS LIMITED,Others,INE982B01027,True
7332,NSE_EQ|INE20PL01012,ADISOFT,SM,NSE,ADISOFT TECHNOLOGIES LTD,Others,INE20PL01012,True
863,NSE_EQ|INE0CHO01012,ADL,EQ,NSE,ARCHIDPLY DECOR LIMITED,Others,INE0CHO01012,True
684,NSE_EQ|INE045A01017,ADOR,EQ,NSE,ADOR WELDING LTD,Others,INE045A01017,True
2207,NSE_EQ|INE737B01033,ADROITINFO,EQ,NSE,ADROIT INFOTECH LIMITED,Others,INE737B01033,True
664,NSE_EQ|INE102I01027,ADSL,EQ,NSE,ALLIED DIGITAL SERV. LTD,Others,INE102I01027,True
1127,NSE_EQ|INE0ALI01010,ADVAIT,EQ,NSE,ADVAIT ENRGY TRANSITION L,Others,INE0ALI01010,True
949,NSE_EQ|INE1B0W01010,ADVANCE,EQ,NSE,ADVANCE AGROLIFE LIMITED,Others,INE1B0W01010,True
1226,NSE_EQ|INE199C01026,ADVANIHOTR,EQ,NSE,ADVANI HOT.& RES.(I) LTD,Others,INE199C01026,True
1096,NSE_EQ|INE28GN01010,ADVENTHTL,EQ,NSE,ADVENT HOTELS INTERNATI L,Others,INE28GN01010,True
1234,NSE_EQ|INE837H01020,ADVENZYMES,EQ,NSE,ADVANCED ENZYME TECH LTD,Others,INE837H01020,True
26,NSE_EQ|INE208C01025,AEGISLOG,EQ,NSE,AEGIS LOGISTICS LIMITED,Logistics,INE208C01025,True
27,NSE_EQ|INE0INX01018,AEGISVOPAK,EQ,NSE,AEGIS VOPAK TERMINALS LTD,Logistics,INE0INX01018,True
1376,NSE_EQ|INE757T01025,AEPL,EQ,NSE,ARTEMIS ELECTRICALS & P L,Others,INE757T01025,True
2314,NSE_EQ|INE947N01017,AEQUS,EQ,NSE,AEQUS LIMITED,Others,INE947N01017,True
1507,NSE_EQ|INE065D01027,AEROENTER,EQ,NSE,AEROFLEX ENTERPRISES LTD,Others,INE065D01027,True
1182,NSE_EQ|INE024001021,AEROFLEX,EQ,NSE,AEROFLEX INDUSTRIES LTD,Others,INE024001021,True
